catalog_id,initial,name,class,subtype,ecosystem_or_vendor,primary_use,deployment_or_interface,scope_note,headline_metric,headline_value_pct,headline_scope,country_breakdown_status,gender_breakdown_status,notes,source_url
1,A,Akuity Platform,CD/GitOps,Continuous delivery/deployment,Cloud native / multi-platform,Promote and deploy application changes,Cluster / SaaS / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2025/07/24/cncf-end-user-survey-finds-argo-cd-as-majority-adopted-gitops-solution-for-kubernetes/
2,A,Ansible Automation Platform,Operations automation,Runbook/event automation,DevOps / SRE,Automate operational remediation/workflows,Server / SaaS,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_orchestration_software
3,A,AppVeyor,CI,Continuous integration system,Multi-language,"Build, test and validate changes",SaaS / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
4,A,Argo CD,CD/GitOps,Continuous delivery/deployment,Cloud native / multi-platform,Promote and deploy application changes,Cluster / SaaS / cloud,Current and historical notable tools,CNCF 2025 clusters in Argo end-user survey,60.0,Approximate 'nearly 60%' of respondent-managed Kubernetes clusters,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2025/07/24/cncf-end-user-survey-finds-argo-cd-as-majority-adopted-gitops-solution-for-kubernetes/
5,A,Argo Rollouts,CD/GitOps,Continuous delivery/deployment,Cloud native / multi-platform,Promote and deploy application changes,Cluster / SaaS / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2025/07/24/cncf-end-user-survey-finds-argo-cd-as-majority-adopted-gitops-solution-for-kubernetes/
6,A,Argo Workflows,Pipeline execution,Pipeline/workflow engine,Multi-language,Execute build/deploy workflows,Runner / cluster / CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
7,A,Auto,Release automation,Version/release automation,Multi-language,"Versioning, changelogs and releases",CLI / CI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
8,A,AWS CodeBuild,Cloud CI/CD,Provider build/deploy service,Cloud,Build and deploy hosted applications,Managed cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://blog.jetbrains.com/teamcity/2025/10/the-state-of-cicd/
9,A,AWS CodeDeploy,CD/GitOps,Continuous delivery/deployment,Cloud native / multi-platform,Promote and deploy application changes,Cluster / SaaS / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2025/07/24/cncf-end-user-survey-finds-argo-cd-as-majority-adopted-gitops-solution-for-kubernetes/
10,A,AWS CodePipeline,CD/GitOps,Continuous delivery/deployment,Cloud native / multi-platform,Promote and deploy application changes,Cluster / SaaS / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2025/07/24/cncf-end-user-survey-finds-argo-cd-as-majority-adopted-gitops-solution-for-kubernetes/
