purpose,source,url,notes
AI survey,Stack Overflow Developer Survey 2025 - AI,https://survey.stackoverflow.co/2025/ai,"Among respondents using out-of-the-box AI agents/copilots, ChatGPT 82% and GitHub Copilot 68%."
IDE survey,Stack Overflow Developer Survey 2025,https://survey.stackoverflow.co/2025/technology/,AI-enabled development environments were included with IDEs; Cursor and Claude Code had meaningful adoption.
OpenAI Codex,OpenAI - Codex app / agent,https://openai.com/index/introducing-the-codex-app/,"Codex available through app, CLI, IDE and cloud; Windows app announced March 2026."
OpenAI Codex architecture,OpenAI - Unrolling the Codex agent loop,https://openai.com/index/unrolling-the-codex-agent-loop/,Describes Codex CLI as a cross-platform local software agent.
GitHub Copilot,GitHub Docs - Copilot IDE quickstart,https://docs.github.com/en/copilot/get-started/quickstart-for-using-github-copilot-in-your-ide,"Copilot supports suggestions, chat and agent mode in supported IDEs."
Claude Code,Anthropic - Claude Code setup,https://docs.anthropic.com/en/docs/claude-code/getting-started,"Terminal coding agent with file editing, commands, permissions and integrations."
Cursor,Cursor Agent docs,https://cursor.com/docs/agent/overview,"Agent can explore codebases, edit files and run terminal commands."
Continue,Continue Docs,https://docs.continue.dev/,"Open-source VS Code/JetBrains AI code assistant with Agent, Chat, Edit and Autocomplete."
JetBrains Junie,JetBrains Junie docs,https://www.jetbrains.com/help/ai-assistant/junie-agent.html,Autonomous multi-step coding agent integrated with JetBrains IDEs.
Amazon Q Developer,AWS Amazon Q Developer,https://aws.amazon.com/q/developer/,IDE/CLI coding assistant; AWS notes IDE plugin support ends 30 Apr 2027 in favor of Kiro.
