dataset,source,url,notes
Language catalogue,Wikipedia - List of programming languages,https://en.wikipedia.org/wiki/List_of_programming_languages,"Index of notable current/historical executable programming languages and DSLs. Excludes BASIC dialects, esoteric languages and markup languages."
Country-language activity,GitHub Innovation Graph - Programming languages,https://innovationgraph.github.com/global-metrics/programming-languages,Quarterly public GitHub activity. Metric: unique developers in each economy making at least one git push to a repo containing a given language.
GitHub methodology,GitHub Innovation Graph methodology,https://innovationgraph.github.com/methodology,Public activity only; economy-level; quarterly; metrics withheld where fewer than 100 relevant unique developers are present.
GitHub data repository,GitHub Innovation Graph repository,https://github.com/github/innovationgraph,"CC0-1.0 structured CSV data, aggregated by economy, dating from 2020."
Global GitHub top 10 snapshot,"AI4Bro Trends, derived from GitHub Innovation Graph",https://ai4bro.com/trends,2026 Q1 top programming-language pusher counts. Values are rounded display values from a third-party visualization of GitHub Innovation Graph data.
Survey language usage,Stack Overflow Developer Survey 2025 - Technology,https://survey.stackoverflow.co/2025/technology/,"Self-reported extensive development work in the past year; language question n=31,771. Multi-select; percentages do not sum to 100."
Survey geography,Stack Overflow Developer Survey 2025 - Developers,https://survey.stackoverflow.co/2025/developers/,"Country of respondents; country question about 35.3k answers. This is respondent distribution, not a census of developers."
Survey methodology,Stack Overflow Developer Survey 2025 - Methodology,https://survey.stackoverflow.co/2025/methodology/,"49,009 responses from 177 countries used in published results; fielded 2025-05-29 to 2025-06-23; recruitment bias toward engaged Stack Overflow users."
Current popularity index,TechRepublic summary of TIOBE September 2026,https://www.techrepublic.com/article/news-tiobe-september-2026-julia-nears-top-20/,"TIOBE is a popularity/search-interest index, not direct developer usage or lines of code."
Gender-capable survey source,JetBrains Developer Ecosystem Survey 2025,https://devecosystem-2025.jetbrains.com/,"24,534 developers; report includes gender and programming-language variables; raw anonymized responses are offered for deeper cross-tab analysis."
Bangladesh country-language example,Legacy Script report using GitHub Innovation Graph,https://legacyscript.co/depth-scripts/bangladesh-website-technology-report-2026,"Worked example of 2026 Q1 language-pusher counts for one economy, sourced to GitHub Innovation Graph."
