catalog_id,initial,name,class,subtype,ecosystem_or_vendor,primary_use,deployment_or_interface,scope_note,headline_metric,headline_value_pct,headline_scope,country_breakdown_status,gender_breakdown_status,notes,source_url
1,A,A10 Thunder ADC,Managed/ADC load balancing,Load balancer / ADC,Cloud / network appliance,Layer 4/7 balancing and application delivery,Managed cloud / appliance,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.netcraft.com/resources/web-server-survey
2,A,Abyss Web Server,Web server,HTTP/application server,Web / multi-language,Serve HTTP applications and static content,Server / application runtime,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.netcraft.com/resources/web-server-survey
3,A,AdGuard Home,DNS,DNS server/resolver,DNS,Name resolution and service discovery,Network daemon / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
4,A,Akamai Global Traffic Management,Managed/ADC load balancing,Load balancer / ADC,Cloud / network appliance,Layer 4/7 balancing and application delivery,Managed cloud / appliance,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.netcraft.com/resources/web-server-survey
5,A,Ambassador Edge Stack / Emissary-ingress,API gateway,API/edge gateway,API networking,"Route, secure and manage API traffic",Gateway / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.postman.com/state-of-api/2025/
6,A,Apache APISIX,API gateway,API/edge gateway,API networking,"Route, secure and manage API traffic",Gateway / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.postman.com/state-of-api/2025/
7,A,Apache HTTP Server,Web server,HTTP/application server,Web / multi-language,Serve HTTP applications and static content,Server / application runtime,Current and historical notable tools,W3Techs known-web-server website usage 2026-09-23,22.0,Detected websites with known server,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.netcraft.com/resources/web-server-survey
8,A,Apache mod_proxy,Proxy/load balancing,Reverse/forward proxy and load balancer,Networking,"Route, balance, cache or inspect traffic",Network service / desktop,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.netcraft.com/resources/web-server-survey
9,A,Apache Traffic Server,Proxy/load balancing,Reverse/forward proxy and load balancer,Networking,"Route, balance, cache or inspect traffic",Network service / desktop,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.netcraft.com/resources/web-server-survey
10,A,Apigee runtime,API gateway,API/edge gateway,API networking,"Route, secure and manage API traffic",Gateway / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.postman.com/state-of-api/2025/
11,A,aria2,Network utility,Network/HTTP diagnostic tool,Networking,"Inspect, test and troubleshoot network communication",CLI / desktop,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.netcraft.com/resources/web-server-survey
