catalog_id,initial,language,github_rank_2026_q1,github_pushers_2026_q1_approx,stackoverflow_rank_2025,stackoverflow_used_pct_2025,tiobe_rank_2026_09,tiobe_rating_pct_2026_09,country_breakdown_status,gender_breakdown_status,catalog_source
1,A,A.NET,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
2,A,A-0 System,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
3,A,A+,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
4,A,ABAP,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
5,A,ABC,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
6,A,ACC,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
7,A,Accent,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
8,A,Action!,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
9,A,ActionScript,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
10,A,Actor,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
11,A,Ada,,,,,17,0.85,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
12,A,Adenine,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
13,A,AdvPL,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
14,A,Agda,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
15,A,Agilent VEE,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
16,A,Agora,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
17,A,AIMMS,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
18,A,Aldor,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
19,A,Alef,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
20,A,Algebraic Logic Functional (ALF),,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
21,A,ALGOL 58,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
22,A,ALGOL 60,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
23,A,ALGOL 68,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
24,A,ALGOL W,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
25,A,Alice ML,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
26,A,Alma-0,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
27,A,AmbientTalk,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
28,A,Amiga E,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
29,A,AMPL,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
30,A,Analitik,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
31,A,AngelScript,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
32,A,Apache Pig Latin,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
33,A,Apex,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
34,A,APL,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
35,A,MIT App Inventor visual block language,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
36,A,AppleScript,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
37,A,APT,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
38,A,Arc,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
39,A,ArkTS,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
40,A,ARexx,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
41,A,Argus,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
42,A,Assembly language,,,17,7.1,16,0.89,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
43,A,AssemblyScript,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
44,A,ATS,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
45,A,AutoHotkey,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
46,A,AutoIt,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
47,A,AutoLISP / Visual LISP,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
48,A,Averest,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
49,A,AWK,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
50,A,Axum,,,,,,,Available in GitHub Innovation Graph when reporting threshold/coverage permits,Not populated: no robust per-language gender table verified in cited published results,https://en.wikipedia.org/wiki/List_of_programming_languages
