catalog_id,initial,name,runtime_family,runtime_type,languages_or_code,execution_model,bytecode_or_ir,memory_management,typical_environment,sandbox_model,provider_or_project,engine_or_host_relation,stateofjs_runtime_rank_2025,stateofjs_runtime_users_2025,stateofjs_runtime_use_pct_2025,stateofjs_edge_rank_2025,stateofjs_edge_users_2025,stateofjs_edge_use_pct_2025,stackoverflow_web_rank_2025,stackoverflow_web_used_pct_2025,country_data_status,gender_data_status,notes,source_url
1,#,.NET for Android CoreCLR,.NET / CLI,Managed runtime / AOT runtime,CLI languages / CIL,JIT / AOT / interpreter varies,CIL / native code / Wasm,Garbage collected,"Desktop, server, mobile, games, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
2,#,.NET Framework CLR,.NET / CLI,Managed runtime / AOT runtime,CLI languages / CIL,JIT / AOT / interpreter varies,CIL / native code / Wasm,Garbage collected,"Desktop, server, mobile, games, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
3,#,.NET Micro Framework CLR,.NET / CLI,Managed runtime / AOT runtime,CLI languages / CIL,JIT / AOT / interpreter varies,CIL / native code / Wasm,Garbage collected,"Desktop, server, mobile, games, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
4,#,.NET nanoFramework CLR,Embedded / constrained,Embedded runtime / VM,"Java ME, .NET, Python, JavaScript, Ruby, Lua, Go, WebAssembly",Interpreter / AOT / JIT varies,Bytecode / native / Wasm,Small-footprint managed or manual,"Microcontrollers, IoT, RTOS",Device/firmware constraints,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
5,#,.NET NativeAOT Runtime,.NET / CLI,Managed runtime / AOT runtime,CLI languages / CIL,JIT / AOT / interpreter varies,CIL / native code / Wasm,Garbage collected,"Desktop, server, mobile, games, browser, embedded",Host-dependent,Microsoft / .NET,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,AOT-compiled self-contained .NET execution model.,https://learn.microsoft.com/en-us/dotnet/core/deploying/native-aot/
6,#,.NET Runtime,.NET / CLI,Managed runtime / CLI VES implementation,"C#, F#, Visual Basic .NET, CLI languages",JIT + optional AOT,CIL / metadata,Garbage collected,"Server, desktop, cloud, mobile",Managed runtime; OS process/application isolation,Microsoft / .NET,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
7,#,.NET WebAssembly Runtime,.NET / CLI,Managed runtime / AOT runtime,CLI languages / CIL,JIT / AOT / interpreter varies,CIL / native code / Wasm,Garbage collected,"Desktop, server, mobile, games, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
8,A,ABC Machine,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
9,A,ABCL Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
10,A,ActionScript Virtual Machine 1 (AVM1),Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
11,A,ActionScript Virtual Machine 2 (AVM2),Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
12,A,ActivePython Runtime,Python,Language runtime / implementation,Python,Bytecode interpreter / JIT / AOT varies,Python bytecode / JVM / CLR / Wasm / native varies,Garbage collected / reference counting varies,"Server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.python.org/download/alternatives/
13,A,Ada Runtime System,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
14,A,Adobe Flash Player AVM2,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
15,A,Alibaba Cloud Function Compute Runtime,Edge / serverless,Managed execution platform,Multi-language / JavaScript / WebAssembly varies,Managed process / isolate / Wasm execution,Provider-defined,Provider-managed,Cloud / edge,Provider sandbox / isolate / container boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Execution platform rather than a standalone language VM; overlaps cloud/serverless taxonomy.,https://2025.stateofjs.com/en-US/other-tools/
16,A,Allegro Common Lisp Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
