catalog_id,initial,name,class,subtype,ecosystem_or_vendor,primary_use,deployment_or_interface,scope_note,headline_metric,headline_value_pct,headline_scope,country_breakdown_status,gender_breakdown_status,notes,source_url
1,A,AccuRev,Version control,Source version-control system,Distributed / centralized / client-server,Track source history and collaboration,CLI / client-server / distributed,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_version-control_software
2,A,Allura,Code hosting,Source-code forge / hosting platform,Git / multi-VCS,"Host repositories, issues, reviews and collaboration",Cloud / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
3,A,Assembla,Code hosting,Source-code forge / hosting platform,Git / multi-VCS,"Host repositories, issues, reviews and collaboration",Cloud / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
4,A,AWS CodeCommit,Code hosting,Source-code forge / hosting platform,Git / multi-VCS,"Host repositories, issues, reviews and collaboration",Cloud / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
5,A,Azure Repos,Code hosting,Source-code forge / hosting platform,Git / multi-VCS,"Host repositories, issues, reviews and collaboration",Cloud / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
6,A,Azure Repos Pull Requests,Code review,Code-review workflow/system,Git / multi-VCS,Review and gate source changes,Web / repository workflow,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
7,B,Bazaar,Version control,Source version-control system,Distributed / centralized / client-server,Track source history and collaboration,CLI / client-server / distributed,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_version-control_software
8,B,Bitbucket Cloud,Code hosting,Source-code forge / hosting platform,Git / multi-VCS,"Host repositories, issues, reviews and collaboration",Cloud / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
9,B,Bitbucket Data Center,Code hosting,Source-code forge / hosting platform,Git / multi-VCS,"Host repositories, issues, reviews and collaboration",Cloud / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
10,B,Bitbucket Pull Requests,Code review,Code-review workflow/system,Git / multi-VCS,Review and gate source changes,Web / repository workflow,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
11,B,BitKeeper,Version control,Source version-control system,Distributed / centralized / client-server,Track source history and collaboration,CLI / client-server / distributed,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_version-control_software
12,B,Bonobo Git Server,Code hosting,Source-code forge / hosting platform,Git / multi-VCS,"Host repositories, issues, reviews and collaboration",Cloud / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
13,B,Breezy,Version control,Source version-control system,Distributed / centralized / client-server,Track source history and collaboration,CLI / client-server / distributed,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_version-control_software
14,C,Cgit,Code hosting,Source-code forge / hosting platform,Git / multi-VCS,"Host repositories, issues, reviews and collaboration",Cloud / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
15,C,ClearCase,Version control,Source version-control system,Distributed / centralized / client-server,Track source history and collaboration,CLI / client-server / distributed,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_version-control_software
16,C,Code Co-op,Version control,Source version-control system,Distributed / centralized / client-server,Track source history and collaboration,CLI / client-server / distributed,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_version-control_software
17,C,Codeberg,Code hosting,Source-code forge / hosting platform,Git / multi-VCS,"Host repositories, issues, reviews and collaboration",Cloud / self-hosted,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
18,C,Cornerstone SVN,VCS client,Graphical/TUI version-control client,Git / SVN / Perforce,Repository operations and visual history,Desktop / terminal,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_version-control_software
19,C,Crucible,Code review,Code-review workflow/system,Git / multi-VCS,Review and gate source changes,Web / repository workflow,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_source-code-hosting_facilities
20,C,CVS,Version control,Source version-control system,Distributed / centralized / client-server,Track source history and collaboration,CLI / client-server / distributed,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_version-control_software
21,C,CVSNT,Version control,Source version-control system,Distributed / centralized / client-server,Track source history and collaboration,CLI / client-server / distributed,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_version-control_software
22,D,Darcs,Version control,Source version-control system,Distributed / centralized / client-server,Track source history and collaboration,CLI / client-server / distributed,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_version-control_software
