catalog_id,initial,name,class,subtype,ecosystem_or_vendor,primary_use,deployment_or_interface,scope_note,headline_metric,headline_value_pct,headline_scope,country_breakdown_status,gender_breakdown_status,notes,source_url
1,A,Apache Ant,Build & package management,JVM build/package system,Java / Kotlin / Scala / Clojure,Dependency resolution and builds,CLI / declarative build,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
2,A,Apache Ivy,Build & package management,JVM build/package system,Java / Kotlin / Scala / Clojure,Dependency resolution and builds,CLI / declarative build,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
3,A,APK,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
4,A,Appraisal,Package management,Ruby package/build tooling,Ruby,"Dependencies, gems and tasks",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
5,A,APT,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
6,A,Artifactory npm registry,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
7,A,asdf,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
8,A,Athens Go proxy,Build & package management,Go module/build tooling,Go,"Modules, builds, releases and task automation",CLI / proxy,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
9,A,Autoconf,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
10,A,Automake,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
