catalog_id,initial,name,class,subtype,ecosystem_or_vendor,primary_use,deployment_or_interface,scope_note,headline_metric,headline_value_pct,headline_scope,country_breakdown_status,gender_breakdown_status,notes,source_url
1,A,Alibaba ACK,Orchestration,Container/workload orchestrator,Cloud native,"Schedule, scale and manage workloads",Cluster / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_orchestration_software
2,A,Amazon ECS,Orchestration,Container/workload orchestrator,Cloud native,"Schedule, scale and manage workloads",Cluster / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_orchestration_software
3,A,Amazon EKS,Orchestration,Container/workload orchestrator,Cloud native,"Schedule, scale and manage workloads",Cluster / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_orchestration_software
4,A,Ansible,Configuration management,Host/configuration automation,Multi-platform,Configure hosts and fleets,Agent / agentless / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_orchestration_software
5,A,Antrea,Cluster infrastructure,Kubernetes platform component,Cloud native,"Networking, storage, policy, registry and cluster lifecycle",Kubernetes / infrastructure,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
6,A,Apache Mesos,Orchestration,Container/workload orchestrator,Cloud native,"Schedule, scale and manage workloads",Cluster / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_orchestration_software
7,A,Atlantis,Infrastructure as Code,Declarative/programmatic IaC,Multi-cloud,Provision infrastructure,CLI / SaaS / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_orchestration_software
8,A,AWS App Mesh,Service mesh,Service-mesh/data-plane infrastructure,Cloud native networking,Service-to-service networking and policy,Cluster / sidecar / ambient,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/
9,A,AWS CDK,Infrastructure as Code,Declarative/programmatic IaC,Multi-cloud,Provision infrastructure,CLI / SaaS / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_orchestration_software
10,A,AWS CloudFormation,Infrastructure as Code,Declarative/programmatic IaC,Multi-cloud,Provision infrastructure,CLI / SaaS / cloud,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_orchestration_software
